Version Number,Data Type,Code ,Description
,HCPCS,00100,Anesthesia for procedure on salivary gland with biopsy
,HCPCS,00102,Anesthesia for plastic repair of cleft lip
,HCPCS,00103,Anesthesia for reconstruction of eyelid
,HCPCS,00104,Anesthesia for electroconvulsive therapy
,HCPCS,00120,Anesthesia for procedure on external ear with biopsy
,HCPCS,00124,Anesthesia for otoscopy
,HCPCS,00126,Anesthesia for tympanotomy
,HCPCS,00140,Anesthesia for procedure on eye
,HCPCS,00142,Anesthesia for surgery of lens of eye
,HCPCS,00144,Anesthesia for corneal transplant
,HCPCS,00145,Anesthesia for vitreoretinal surgery
,HCPCS,00147,Anesthesia for iridectomy
,HCPCS,00148,Anesthesia for ophthalmoscopy
,HCPCS,00160,Anesthesia for procedure on nose and accessory sinus
,HCPCS,00162,Anesthesia for radical surgery of nose and accessory sinus
,HCPCS,00164,Anesthesia for procedure on nose and accessory sinus with biopsy of soft tissue
,HCPCS,00170,Anesthesia for intraoral procedure with biopsy
,HCPCS,00172,Anesthesia for repair of cleft palate
,HCPCS,00174,Anesthesia for excision of retropharyngeal tumor
,HCPCS,00176,Anesthesia for radical intraoral surgery
,HCPCS,00190,Anesthesia for procedure on facial bone
,HCPCS,00192,Anesthesia for radical surgery on facial bone
,HCPCS,00210,Anesthesia for intracranial procedure
,HCPCS,00211,Anesthesia for craniectomy for evacuation of hematoma
,HCPCS,00212,Anesthesia for subdural tap
,HCPCS,00214,Anesthesia for intracranial burr holes
,HCPCS,00215,Anesthesia for cranioplasty
,HCPCS,00216,Anesthesia for intracranial vascular procedure
,HCPCS,00218,Anesthesia for intracranial procedure in sitting position
,HCPCS,00220,Anesthesia for intracranial cerebrospinal fluid shunting procedure
,HCPCS,00222,Anesthesia for electrocoagulation of intracranial nerve
,HCPCS,00300,Anesthesia for procedure on integumentary system of head
,HCPCS,00320,"Anesthesia for procedure on esophagus, thyroid, larynx, trachea and lymphatic system of neck"
,HCPCS,00322,Anesthesia for needle biopsy of thyroid
,HCPCS,00326,Anesthesia for procedure on larynx and trachea
,HCPCS,00350,Anesthesia for procedure of major vessel of neck
,HCPCS,00352,Anesthesia for ligation of major blood vessel of neck
,HCPCS,00400,"Anesthesia for procedure on integumentary system of extremities, anterior trunk and perineum"
,HCPCS,00402,Anesthesia for reconstructive procedure on breast
,HCPCS,00404,Anesthesia for modified radical procedure on breast
,HCPCS,00406,Anesthesia for modified radical procedure on breast with internal mammary node dissection
,HCPCS,00410,Anesthesia for electrical conversion of arrhythmia
,HCPCS,00450,Anesthesia for procedure on clavicle and scapula
,HCPCS,00454,Anesthesia for biopsy of clavicle
,HCPCS,00470,Anesthesia for partial rib resection
,HCPCS,00472,Anesthesia for partial rib resection with thoracoplasty
,HCPCS,00474,Anesthesia for radical partial rib resection
,HCPCS,00500,Anesthesia for procedure on esophagus
,HCPCS,00520,Anesthesia for procedure on chest
,HCPCS,00522,Anesthesia for needle biopsy of pleura
,HCPCS,00524,Anesthesia for pneumocentesis
,HCPCS,00528,Anesthesia for mediastinoscopy and diagnostic thoracoscopy
,HCPCS,00529,Anesthesia for diagnostic thoracoscopy with one-lung ventilation
,HCPCS,00530,Anesthesia for insertion of transvenous permanent pacemaker
,HCPCS,00532,Anesthesia for access to central venous circulation
,HCPCS,00534,Anesthesia for transvenous insertion of pacing cardioverter-defibrillator
,HCPCS,00537,Anesthesia for electrophysiologic procedure of heart
,HCPCS,00539,Anesthesia for tracheobronchial reconstruction
,HCPCS,00540,Anesthesia for thoracotomy
,HCPCS,00541,Anesthesia for thoracotomy with one-lung ventilation
,HCPCS,00542,Anesthesia for thoracotomy
,HCPCS,00546,Anesthesia for thoracotomy with pulmonary resection and thoracoplasty
,HCPCS,00548,Anesthesia for thoracotomy and intrathoracic procedure on trachea and bronchi
,HCPCS,00550,Anesthesia for sternal debridement
,HCPCS,00560,"Anesthesia for procedure on heart, pericardial sac, and great vessels of chest"
,HCPCS,00561,"Anesthesia for procedure on heart, pericardial sac, and great vessels of chest with pump oxygenator"
,HCPCS,00562,"Anesthesia for procedure on heart, pericardial sac, and great vessels of chest with pump oxygenator"
,HCPCS,00563,"Anesthesia for procedure on heart, pericardial sac, and great vessels of chest with pump oxygenator and hypothermic circulatory arrest"
,HCPCS,00566,Anesthesia for direct coronary artery bypass grafting
,HCPCS,00567,Anesthesia for direct coronary artery bypass grafting with pump oxygenator
,HCPCS,00580,Anesthesia for heart transplant
,HCPCS,00600,Anesthesia for procedure on cervical spine and spinal cord
,HCPCS,00604,Anesthesia for procedure on cervical spine and spinal cord
,HCPCS,00620,Anesthesia for procedure on thoracic spine and spinal cord
,HCPCS,00625,Anesthesia for procedure on thoracic spine and spinal cord
,HCPCS,00626,Anesthesia for procedure on thoracic spine and spinal cord with one-lung lung ventilation
,HCPCS,00630,Anesthesia for procedure in lumbar region
,HCPCS,00632,Anesthesia for lumbar sympathectomy
,HCPCS,00635,Anesthesia for lumbar puncture
,HCPCS,00640,Anesthesia for closed procedure on cervical spine
,HCPCS,00670,Anesthesia for procedure of spine and spinal cord
,HCPCS,00700,Anesthesia for procedure on upper anterior abdominal wall
,HCPCS,00702,Anesthesia for percutaneous liver biopsy
,HCPCS,00730,Anesthesia for procedure on upper posterior abdominal wall
,HCPCS,00731,Anesthesia for upper gastrointestinal endoscopic procedure proximal to duodenum
,HCPCS,00732,Anesthesia for endoscopic retrograde cholangiopancreatography (ERCP)
,HCPCS,00750,Anesthesia for repair of upper abdominal hernia
,HCPCS,00752,Anesthesia for repair of abdominal wound dehiscence
,HCPCS,00754,Anesthesia for repair of omphalocele
,HCPCS,00756,Anesthesia for transabdominal repair of diaphragmatic hernia
,HCPCS,00770,Anesthesia for procedure on major abdominal blood vessel
,HCPCS,00790,Anesthesia for laparoscopic procedure on upper abdomen
,HCPCS,00792,Anesthesia for partial hepatectomy
,HCPCS,00794,Anesthesia for partial pancreatectomy
,HCPCS,00796,Anesthesia for liver transplant
,HCPCS,00797,Anesthesia for gastric restrictive procedure
,HCPCS,00800,Anesthesia for procedure on lower anterior abdominal wall
,HCPCS,00802,Anesthesia for panniculectomy
,HCPCS,00811,Anesthesia for lower gastrointestinal endoscopic procedure distal to duodenum
,HCPCS,00812,Anesthesia for screening colonoscopy
,HCPCS,00813,Anesthesia for combined upper and lower gastrointestinal endoscopic procedures
,HCPCS,00820,Anesthesia for procedure on lower posterior abdominal wall
,HCPCS,00830,Anesthesia for repair of lower abdominal hernia
,HCPCS,00832,Anesthesia for repair of incisional hernia of lower abdomen
,HCPCS,00834,Anesthesia for repair of lower abdominal hernia
,HCPCS,00836,Anesthesia for repair of lower abdominal hernia
,HCPCS,00840,Anesthesia for intraperitoneal procedure of lower abdomen
,HCPCS,00842,Anesthesia for amniocentesis
,HCPCS,00844,Anesthesia for abdominoperineal resection
,HCPCS,00846,Anesthesia for radical hysterectomy
,HCPCS,00848,Anesthesia for pelvic exenteration
,HCPCS,00851,Anesthesia for tubal ligation
,HCPCS,00860,Anesthesia for extraperitoneal procedure on lower abdomen
,HCPCS,00862,Anesthesia for donor nephrectomy
,HCPCS,00864,Anesthesia for total cystectomy
,HCPCS,00865,Anesthesia for radical prostatectomy
,HCPCS,00866,Anesthesia for adrenalectomy
,HCPCS,00868,Anesthesia for renal transplant
,HCPCS,00870,Anesthesia for cystolithotomy
,HCPCS,00872,Anesthesia for extracorporeal shock wave lithotripsy with water bath
,HCPCS,00873,Anesthesia for extracorporeal shock wave lithotripsy
,HCPCS,00880,Anesthesia for procedure on lower abdominal wall vessel
,HCPCS,00882,Anesthesia for inferior vena cava ligation
,HCPCS,00902,Anesthesia for anorectal procedure
,HCPCS,00904,Anesthesia for radical perineal procedure
,HCPCS,00906,Anesthesia for vulvectomy
,HCPCS,00908,Anesthesia for perineal prostatectomy
,HCPCS,00910,Anesthesia for transurethral procedure
,HCPCS,00912,Anesthesia for resection of bladder tumor by transurethral approach
,HCPCS,00914,Anesthesia for resection of prostate by transurethral approach
,HCPCS,00916,Anesthesia for management of post-transurethral resection bleeding
,HCPCS,00918,Anesthesia for transurethral fragmentation and manipulation of ureteral calculus
,HCPCS,00920,Anesthesia for procedure on male genitalia
,HCPCS,00921,Anesthesia for bilateral vasectomy
,HCPCS,00922,Anesthesia for procedure on seminal vesicle
,HCPCS,00924,Anesthesia for procedure on bilateral undescended testis
,HCPCS,00926,Anesthesia for radical inguinal orchiectomy
,HCPCS,00928,Anesthesia for radical abdominal orchiectomy
,HCPCS,00930,Anesthesia for bilateral orchiopexy
,HCPCS,00932,Anesthesia for complete amputation of penis
,HCPCS,00934,Anesthesia for radical amputation of penis with bilateral inguinal lymphadenectomy
,HCPCS,00936,Anesthesia for radical amputation of penis with bilateral inguinal and iliac lymphadenectomy
,HCPCS,00938,Anesthesia for insertion of penile prosthesis
,HCPCS,00940,Anesthesia for procedure on vagina
,HCPCS,00942,Anesthesia for colporrhaphy
,HCPCS,00944,Anesthesia for hysterectomy by vaginal approach
,HCPCS,00948,Anesthesia for cervical cerclage
,HCPCS,00950,Anesthesia for culdoscopy
,HCPCS,00952,Anesthesia for hysterosalpingography
,HCPCS,01112,Anesthesia for bone marrow aspiration and biopsy from anterior iliac crest
,HCPCS,01120,Anesthesia for procedure on bony pelvis
,HCPCS,01130,Anesthesia for application of body cast
,HCPCS,01140,Anesthesia for interpelviabdominal hindquarter amputation
,HCPCS,01150,Anesthesia for radical procedure on tumor of pelvis
,HCPCS,01160,Anesthesia for closed procedure involving sacroiliac joint
,HCPCS,01170,Anesthesia for open procedure on sacroiliac joint
,HCPCS,01173,Anesthesia for open repair of fracture of pelvic column
,HCPCS,01200,Anesthesia for closed procedure on hip joint
,HCPCS,01202,Anesthesia for arthroscopic procedure on hip joint
,HCPCS,01210,Anesthesia for open procedure on hip joint
,HCPCS,01212,Anesthesia for disarticulation of hip
,HCPCS,01214,Anesthesia for total hip arthroplasty
,HCPCS,01215,Anesthesia for revision of total hip arthroplasty
,HCPCS,01220,Anesthesia for closed procedure on femur
,HCPCS,01230,Anesthesia for open procedure on femur
,HCPCS,01232,Anesthesia for amputation of upper two-third of femur
,HCPCS,01234,Anesthesia procedure for radical resection of upper two-third of femur
,HCPCS,01250,"Anesthesia for procedure on nerve, muscle, tendon, fascia, and bursa of upper leg"
,HCPCS,01260,Anesthesia for procedure on vein of upper leg
,HCPCS,01270,Anesthesia for procedure on artery of upper leg
,HCPCS,01272,Anesthesia for ligation of femoral artery
,HCPCS,01274,Anesthesia for embolectomy of femoral artery
,HCPCS,01320,"Anesthesia for procedure on nerve, muscle, tendon, fascia, and bursa of knee and popliteal area"
,HCPCS,01340,Anesthesia for closed procedure on lower one-third of femur
,HCPCS,01360,Anesthesia for open procedure on lower one-third of femur
,HCPCS,01380,Anesthesia for closed procedure on knee joint
,HCPCS,01382,Anesthesia for diagnostic arthroscopic procedure on knee
,HCPCS,01390,Anesthesia for closed procedure on upper end of tibia and fibula
,HCPCS,01392,Anesthesia for open procedure on upper end of tibia and fibula
,HCPCS,01400,Anesthesia for open procedure on knee joint
,HCPCS,01402,Anesthesia for arthroscopic total knee arthroplasty
,HCPCS,01404,Anesthesia for disarticulation at knee
,HCPCS,01420,Anesthesia for application of cast of knee joint
,HCPCS,01430,Anesthesia for procedure on vein of knee and popliteal area
,HCPCS,01432,Anesthesia for arteriovenous fistula of knee and popliteal area
,HCPCS,01440,Anesthesia procedure on artery of knee and popliteal area
,HCPCS,01442,Anesthesia for popliteal thromboendarterectomy
,HCPCS,01444,Anesthesia for excision and graft of popliteal aneurysm
,HCPCS,01462,Anesthesia for closed procedure on ankle
,HCPCS,01464,Anesthesia for arthroscopic procedure of ankle
,HCPCS,01470,"Anesthesia for procedure on lower leg, ankle, and foot"
,HCPCS,01472,Anesthesia for repair of ruptured achilles tendon
,HCPCS,01474,Anesthesia for gastrocnemius recession
,HCPCS,01480,"Anesthesia for open procedure on bone of lower leg, ankle, and foot"
,HCPCS,01482,"Anesthesia for radical resection of bone of lower leg, ankle and foot"
,HCPCS,01484,Anesthesia for osteoplasty of fibula
,HCPCS,01486,Anesthesia for total ankle replacement
,HCPCS,01490,Anesthesia for application of cast of lower leg
,HCPCS,01500,Anesthesia for procedure on artery of lower leg
,HCPCS,01502,Anesthesia for direct embolectomy of lower leg artery
,HCPCS,01520,Anesthesia for procedure on vein of lower leg
,HCPCS,01522,Anesthesia for direct thrombectomy of vein of lower leg
,HCPCS,01610,Anesthesia for procedure on shoulder and axilla
,HCPCS,01620,"Anesthesia for closed procedure on humeral head and neck, sternoclavicular joint, acromioclavicular joint, and shoulder joint"
,HCPCS,01622,Anesthesia for diagnostic arthroscopic procedure of shoulder joint
,HCPCS,01630,"Anesthesia for arthroscopic procedure on humeral head and neck, sternoclavicular joint, acromioclavicular joint, and shoulder joint"
,HCPCS,01634,Anesthesia for disarticulation of glenohumeral joint
,HCPCS,01636,Anesthesia for interthoracoscapular amputation
,HCPCS,01638,Anesthesia for total shoulder replacement
,HCPCS,01650,Anesthesia for procedure on artery of shoulder and axilla
,HCPCS,01652,Anesthesia for procedure on axillary aneurysm
,HCPCS,01654,Anesthesia for bypass graft on artery of axilla
,HCPCS,01656,Anesthesia for axillary-femoral bypass graft
,HCPCS,01670,Anesthesia for procedure on vein of shoulder and axilla
,HCPCS,01680,Anesthesia for application of cast of shoulder
,HCPCS,01710,Anesthesia for procedure on elbow
,HCPCS,01712,Anesthesia for open tenotomy from elbow to shoulder
,HCPCS,01714,Anesthesia for tenoplasty from elbow to shoulder
,HCPCS,01716,Anesthesia for tenodesis for repair of ruptured long tendon of biceps
,HCPCS,01730,Anesthesia for closed procedure on humerus and elbow
,HCPCS,01732,Anesthesia for diagnostic arthroscopic procedure on elbow joint
,HCPCS,01740,Anesthesia for open procedure on elbow
,HCPCS,01742,Anesthesia for arthroscopic osteotomy of humerus
,HCPCS,01744,Anesthesia for arthroscopic repair of malunion of humerus
,HCPCS,01756,Anesthesia for arthroscopic radical procedure of elbow
,HCPCS,01758,Anesthesia for arthroscopic excision of cyst of humerus
,HCPCS,01760,Anesthesia for total elbow replacement
,HCPCS,01770,Anesthesia for procedure on artery of upper arm and elbow
,HCPCS,01772,Anesthesia for embolectomy of artery of elbow area
,HCPCS,01780,Anesthesia for procedure on vein of elbow area
,HCPCS,01782,Anesthesia for phleborrhaphy of elbow area
,HCPCS,01810,"Anesthesia for procedure on forearm, wrist and hand"
,HCPCS,01820,Anesthesia for closed procedure on hand bone
,HCPCS,01829,Anesthesia for diagnostic arthroscopic procedure on wrist
,HCPCS,01830,Anesthesia for arthroscopic procedure on hand joint
,HCPCS,01832,Anesthesia for total wrist replacement
,HCPCS,01840,Anesthesia for procedure on artery of forearm
,HCPCS,01842,Anesthesia for embolectomy on artery of forearm
,HCPCS,01844,Anesthesia for revision of vascular shunt
,HCPCS,01850,Anesthesia for procedure on vein of forearm
,HCPCS,01852,Anesthesia for phleborrhaphy of upper extremity
,HCPCS,01860,Anesthesia for application of cast of forearm
,HCPCS,01916,Anesthesia for diagnostic arteriography
,HCPCS,01920,Anesthesia for cardiac catheterization
